Suhu;Kelembaban;Angin;Cuaca
266.767.158.338.102;105.788.808.084.552;0.977669971269986;Hujan
267.730.594.199.856;696.949.885.238.947;811.909.882.663.669;Berawan
24.691.067.676.158;0.850629280921444;129.529.671.954.297;Berawan
283.214.000.954.773;587.245.756.211.683;147.387.164.371.921;Berawan
33.792.977.895.037;680.027.449.200.741;176.802.536.148.063;Cerah
240.373.963.078.364;833.569.211.206.514;98.516.088.710.427;Hujan
255.349.953.267.058;702.234.255.323.488;115.218.220.933.218;Berawan
289.322.715.738.471;711.544.445.577.017;700.493.787.778.362;Berawan
289.231.692.926.615;741.087.996.048.721;100.782.731.506.325;Berawan
213.590.697.555.078;791.293.145.427.562;613.011.730.077.683;Berawan
31.692.332.899.977;667.777.960.443.356;899.264.590.212.961;Cerah
209.231.462.897.479;590.557.234.120.563;843.183.093.844.288;Berawan
224.683.251.299.698;739.123.985.154.314;9.901.740.189.352;Berawan
204.257.638.765.706;838.163.975.694.945;501.711.719.945.202;Hujan
297.889.368.017.414;842.617.754.753.164;128.148.514.179.279;Berawan
298.081.801.252.381;759.767.609.854.883;204.709.057.482.096;Berawan
303.661.881.228.677;685.342.711.575.747;125.017.664.636.467;Cerah
239.886.136.538.919;754.698.059.376.474;577.461.611.090.932;Berawan
359.300.840.807.267;813.278.186.610.628;853.168.167.244.533;Hujan
117.936.632.996.546;837.112.470.343.169;146.425.156.039.901;Berawan
29.536.497.604.383;652.123.628.421.769;104.401.410.592.999;Berawan
303.691.646.045.589;646.475.767.758.062;105.545.083.710.846;Cerah
302.190.971.407.311;789.445.214.237.829;834.333.086.715.708;Berawan
322.621.666.739.811;692.310.813.047.685;935.803.346.732.347;Cerah
29.507.736.711.668;675.151.346.344.344;133.099.056.460.495;Berawan
2.177.130.610.644;663.871.579.867.173;61.697.542.725.390.700;Berawan
312.569.562.565.289;65.924.363.379.584;105.896.643.295.347;Cerah
209.907.446.860.385;847.157.095.095.435;122.297.922.820.681;Berawan
336.778.282.009.029;744.976.189.055.086;868.080.682.517.747;Berawan
221.566.098.119.023;761.567.463.429.285;104.509.052.843.856;Berawan
246.153.899.984.702;0.835765962320202;91.933.339.283.355;Hujan
27.308.678.494.144;0.693981895980303;723.350.402.746.712;Berawan
356.151.492.820.401;811.037.026.543.346;140.669.135.764.148;Berawan
325.893.097.352.738;734.432.276.460.792;833.356.864.251.923;Berawan
291.372.996.730.206;78.840.654.489.393;447.737.730.600.506;Berawan
288.568.414.059.498;774.368.721.149.191;150.070.645.758.681;Berawan
244.007.789.580.264;773.204.993.735.763;918.182.929.075.698;Berawan
321.095.125.218.761;0.673265243711195;766.654.993.722.737;Cerah
241.358.739.273.121;800.091.718.762.438;108.011.507.976.077;Hujan
317.596.651.634.338;75.675.184.814.101;982.916.312.883.679;Berawan
230.924.567.447.602;0.832940558118349;0.990061908137861;Hujan
222.450.321.128.884;865.811.087.350.006;703.118.553.922.425;Hujan
296.563.171.570.178;782.271.856.033.808;105.942.542.823.035;Berawan
32.770.008.817.466;0.726105195313359;0.143409336530612;Berawan
251.885.623.537.951;752.100.384.163.275;103.876.635.459.256;Berawan
294.049.593.386.751;833.033.581.654.424;117.719.644.920.769;Hujan
228.780.617.933.285;717.397.646.783.215;153.876.330.192.865;Berawan
268.270.643.331.242;873.781.631.197.346;944.529.359.067.103;Hujan
25.278.086.377.374;649.398.261.850.029;147.795.598.799.181;Berawan
305.663.371.655.667;692.309.634.433.759;113.327.899.344.581;Cerah
361.620.565.196.581;546.187.546.482.214;108.575.961.721.747;Cerah
